SampleID,CqSAMP_B2M,CqSAMP_TEL,RTL_resp_CAL,RTL_No_CAL,Plate,ExtrMethod
BR568,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR568,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR568,25.53756846,13.50422061,0.753100863,0.725287027,20150420_Soay_SCcomparison5,SC
BR568,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR568,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR568,25.57007125,13.73466113,0.711083598,0.641746311,20150420_Soay_SCcomparison6,SC
BR568,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR568,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR568,25.77319034,13.46858272,0.724928555,0.856735484,20150421_Soay_SCcomparison7,SC
BR568,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR568,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR568,25.72659632,13.7940961,0.769949341,0.67827359,20150421_Soay_SCcomparison8,SC
BR568,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR568,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR572,24.9994919,12.79567916,0.730520025,0.809809206,20150416_Soay_PGcomparison1,PG
BR572,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR572,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR572,25.36585442,12.87702186,0.715043222,0.970487967,20150416_Soay_PGcomparison2,PG
BR572,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR572,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR572,25.18428054,12.72735614,0.749229037,0.950105809,20150417_Soay_PGcomparison3,PG
BR572,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR572,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR572,25.40946803,13.06019605,0.734770644,0.883323808,20150417_Soay_PGcomparison4,PG
BR572,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR572,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR572,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR572,25.48714636,13.48402157,0.738875994,0.711587517,20150420_Soay_SCcomparison5,SC
BR572,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR572,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR572,25.52686077,13.70730852,0.703947538,0.635306083,20150420_Soay_SCcomparison6,SC
BR572,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR572,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR572,25.75016656,13.36246124,0.764016434,0.902930346,20150421_Soay_SCcomparison7,SC
BR572,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR572,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR572,25.68574503,13.95492046,0.678240012,0.597483838,20150421_Soay_SCcomparison8,SC
BR572,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR578,25.72056587,13.18954857,0.89333835,0.990299509,20150416_Soay_PGcomparison1,PG
BR578,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR578,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR578,26.00279184,13.33700802,0.792574631,1.075716989,20150416_Soay_PGcomparison2,PG
BR578,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR578,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR578,25.9659165,13.25526266,0.87364941,1.107884686,20150417_Soay_PGcomparison3,PG
BR578,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR578,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR578,26.01427191,13.51289735,0.805474352,0.96832212,20150417_Soay_PGcomparison4,PG
BR578,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR578,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR578,25.07907511,12.82487583,0.858865974,0.827145974,20150420_Soay_SCcomparison5,SC
BR578,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR578,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR578,25.12599657,12.90361826,0.900343579,0.812551683,20150420_Soay_SCcomparison6,SC
BR578,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR578,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR578,25.36642,12.72603646,0.896962276,1.060048475,20150421_Soay_SCcomparison7,SC
BR578,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR578,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR578,25.29282725,13.04850535,0.937802277,0.82614074,20150421_Soay_SCcomparison8,SC
BR578,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR578,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR583,25.95397278,13.68079898,0.753849793,0.835671138,20150416_Soay_PGcomparison1,PG
BR583,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR583,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR583,26.34216162,13.85131109,0.703554029,0.954894336,20150416_Soay_PGcomparison2,PG
BR583,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR583,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR583,26.14950302,13.64549939,0.763303546,0.96795385,20150417_Soay_PGcomparison3,PG
BR583,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR583,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR583,26.22544378,14.06588186,0.645855457,0.776432084,20150417_Soay_PGcomparison4,PG
BR583,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR583,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR583,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR583,26.20345012,14.31769388,0.692165531,0.666602182,20150420_Soay_SCcomparison5,SC
BR583,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR583,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR583,26.17686362,14.51950411,0.639656793,0.577284285,20150420_Soay_SCcomparison6,SC
BR583,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR583,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR583,26.51440596,14.04042911,0.805337079,0.951763936,20150421_Soay_SCcomparison7,SC
BR583,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR583,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR583,26.33993032,14.59286883,0.684191124,0.602726366,20150421_Soay_SCcomparison8,SC
BR583,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR589,26.04149309,13.35973552,0.980260284,1.08665577,20150416_Soay_PGcomparison1,PG
BR589,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR589,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR589,26.26699567,13.57988316,0.79977848,1.085494368,20150416_Soay_PGcomparison2,PG
BR589,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR589,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR589,26.09447414,13.32859446,0.903810969,1.146132898,20150417_Soay_PGcomparison3,PG
BR589,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR589,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR589,26.18923926,13.61852017,0.840704704,1.010675222,20150417_Soay_PGcomparison4,PG
BR589,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR589,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR589,26.01350479,13.66506876,0.918300969,0.884385891,20150420_Soay_SCcomparison5,SC
BR589,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR589,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
