SampleID,Cq_SAMP_B2M,Cq_SAMP_Tel,RTL_PU_CAL,RTL_resp_CAL,RTL_No_CAL,RTL_NO_CAL_Corrected,Plate,ExtrMethod
6,26.10697653,14.58201674,1.007007098,1.163,0.000565198,0.933751621,SpinColumn 3,SC
6,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
6,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
6,25.97506603,14.86506172,0.853241905,1.08550042,0.000738237,0.723806315,SpinColumn 4,SC
6,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
6,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
6,26.05943377,14.03100227,0.973697921,1.393135391,0.000492804,1.276090814,PlateExtr 1,SP
6,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
6,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
6,26.08443105,14.29249503,1.230455814,1.613,0.000520838,1.099608157,PlateExtr 2,SP
6,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
6,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
6,26.14046725,13.96508012,1.08418294,1.512,0.000444693,1.400753459,PlateExtr 3,SP
6,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
6,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
6,26.0917082,14.34000536,1.233166846,1.453,0.000503555,1.071897211,PlateExtr 4,SP
6,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
6,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
7,26.22055075,13.84709334,1.255859409,1.255859409,0.000443705,1.605023171,Puregene 1,PU
7,NA,NA,NA,NA,NA,NA,Puregene 1,PU
7,NA,NA,NA,NA,NA,NA,Puregene 1,PU
7,26.4063606,14.14798781,1.51362486,1.51362486,0.000433056,1.490238209,Puregene 2,PU
7,NA,NA,NA,NA,NA,NA,Puregene 2,PU
7,NA,NA,NA,NA,NA,NA,Puregene 2,PU
7,26.39298749,13.93463956,1.694649352,1.694649352,0.000393402,1.689811574,Puregene 3,PU
7,NA,NA,NA,NA,NA,NA,Puregene 3,PU
7,NA,NA,NA,NA,NA,NA,Puregene 3,PU
7,26.32909717,14.2730869,1.5713624,1.5713624,0.000487678,1.309058768,Puregene 4,PU
7,NA,NA,NA,NA,NA,NA,Puregene 4,PU
7,NA,NA,NA,NA,NA,NA,Puregene 4,PU
7,26.05625755,13.89156311,1.250174889,1.64604591,0.000412657,1.390282468,SpinColumn 1,SC
7,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
7,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
7,25.82280993,14.13947398,1.268349465,1.557696537,0.000507644,1.023859322,SpinColumn 2,SC
7,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
7,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
7,25.97700476,13.99314249,1.332091578,1.539,0.000427267,1.235187588,SpinColumn 3,SC
7,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
7,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
7,26.10196058,14.11259046,1.460077928,1.857521524,0.000431412,1.238586167,SpinColumn 4,SC
7,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
7,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
7,24.92217996,12.85802617,0.987296967,1.412592466,0.000486016,1.293913208,PlateExtr 1,SP
7,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
7,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
7,24.97570888,13.18252873,1.212729813,1.589,0.000528451,1.083767147,PlateExtr 2,SP
7,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
7,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
7,25.15945332,12.80941387,1.200935124,1.675,0.000401461,1.551596114,PlateExtr 3,SP
7,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
7,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
7,25.06996827,13.18823597,1.312060188,1.546,0.000473277,1.140473132,PlateExtr 4,SP
7,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
7,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
8,26.20983306,13.92690809,1.18573202,1.18573202,0.000469947,1.515398419,Puregene 1,PU
8,NA,NA,NA,NA,NA,NA,Puregene 1,PU
8,NA,NA,NA,NA,NA,NA,Puregene 1,PU
8,26.30553549,14.35328459,1.246427789,1.246427789,0.00052589,1.227169535,Puregene 2,PU
8,NA,NA,NA,NA,NA,NA,Puregene 2,PU
8,NA,NA,NA,NA,NA,NA,Puregene 2,PU
8,26.35867387,14.17599619,1.423240803,1.423240803,0.000468422,1.419177824,Puregene 3,PU
8,NA,NA,NA,NA,NA,NA,Puregene 3,PU
8,NA,NA,NA,NA,NA,NA,Puregene 3,PU
8,26.29836874,15.05810659,0.93822883,0.93822883,0.000816771,0.78161262,Puregene 4,PU
8,NA,NA,NA,NA,NA,NA,Puregene 4,PU
8,NA,NA,NA,NA,NA,NA,Puregene 4,PU
